package,sink,source,summary,sink:bean-validation,sink:create-file,sink:header-splitting,sink:information-leak,sink:jexl,sink:ldap,sink:open-url,sink:set-hostname-verifier,sink:url-open-stream,sink:xpath,sink:xss,source:remote,summary:taint,summary:value
android.util,,16,,,,,,,,,,,,,16,,
android.webkit,3,2,,,,,,,,,,,,3,2,,
com.esotericsoftware.kryo.io,,,1,,,,,,,,,,,,,1,
com.esotericsoftware.kryo5.io,,,1,,,,,,,,,,,,,1,
com.fasterxml.jackson.databind,,,3,,,,,,,,,,,,,3,
com.google.common.base,,,34,,,,,,,,,,,,,28,6
com.google.common.io,6,,73,,,,,,,,,6,,,,72,1
com.unboundid.ldap.sdk,17,,,,,,,,17,,,,,,,,
java.beans,,,1,,,,,,,,,,,,,1,
java.io,3,,20,,3,,,,,,,,,,,20,
java.lang,,,3,,,,,,,,,,,,,1,2
java.net,2,3,4,,,,,,,2,,,,,3,4,
java.nio,10,,2,,10,,,,,,,,,,,2,
java.util,,,283,,,,,,,,,,,,,15,268
javax.naming.directory,1,,,,,,,,1,,,,,,,,
javax.net.ssl,2,,,,,,,,,,2,,,,,,
javax.servlet,4,21,2,,,3,1,,,,,,,,21,2,
javax.validation,1,1,,1,,,,,,,,,,,1,,
javax.ws.rs.core,1,,,,,1,,,,,,,,,,,
javax.xml.transform.sax,,,4,,,,,,,,,,,,,4,
javax.xml.transform.stream,,,2,,,,,,,,,,,,,2,
javax.xml.xpath,3,,,,,,,,,,,,3,,,,
org.apache.commons.codec,,,2,,,,,,,,,,,,,2,
org.apache.commons.io,,,22,,,,,,,,,,,,,22,
org.apache.commons.jexl2,15,,,,,,,15,,,,,,,,,
org.apache.commons.jexl3,15,,,,,,,15,,,,,,,,,
org.apache.commons.lang3,,,370,,,,,,,,,,,,,324,46
org.apache.commons.text,,,272,,,,,,,,,,,,,220,52
org.apache.directory.ldap.client.api,1,,,,,,,,1,,,,,,,,
org.apache.hc.core5.function,,,1,,,,,,,,,,,,,1,
org.apache.hc.core5.http,1,2,39,,,,,,,,,,,1,2,39,
org.apache.hc.core5.net,,,2,,,,,,,,,,,,,2,
org.apache.hc.core5.util,,,24,,,,,,,,,,,,,18,6
org.apache.http,2,3,67,,,,,,,,,,,2,3,59,8
org.dom4j,20,,,,,,,,,,,,20,,,,
org.springframework.ldap.core,14,,,,,,,,14,,,,,,,,
org.springframework.security.web.savedrequest,,6,,,,,,,,,,,,,6,,
org.springframework.web.client,,3,,,,,,,,,,,,,3,,
org.springframework.web.context.request,,8,,,,,,,,,,,,,8,,
org.springframework.web.multipart,,12,,,,,,,,,,,,,12,,
org.xml.sax,,,1,,,,,,,,,,,,,1,
org.xmlpull.v1,,3,,,,,,,,,,,,,3,,
play.mvc,,4,,,,,,,,,,,,,4,,
